agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,6/15/12,659
USGS,9058000,6/16/12,679
USGS,9058000,6/17/12,733
USGS,9058000,6/18/12,750
USGS,9058000,6/19/12,695
USGS,9058000,6/20/12,645
USGS,9058000,6/21/12,619
USGS,9058000,6/22/12,735
USGS,9058000,6/23/12,846
USGS,9058000,6/24/12,834
USGS,9058000,6/25/12,854
USGS,9058000,6/26/12,839
USGS,9058000,6/27/12,823
USGS,9058000,6/28/12,830
USGS,9058000,6/29/12,872
USGS,9058000,6/30/12,898
USGS,9058000,7/1/12,876
USGS,9058000,7/2/12,849
USGS,9058000,7/3/12,908
USGS,9058000,7/4/12,928
USGS,9058000,7/5/12,918
USGS,9058000,7/6/12,939
USGS,9058000,7/7/12,996
USGS,9058000,7/8/12,1050
USGS,9058000,7/9/12,883
USGS,9058000,7/10/12,896
USGS,9058000,7/11/12,903
USGS,9058000,7/12/12,925
USGS,9058000,7/13/12,950
USGS,9058000,7/14/12,925
USGS,9058000,7/15/12,984
USGS,9058000,7/16/12,1050
USGS,9058000,7/17/12,1120
USGS,9058000,7/18/12,1080
USGS,9058000,7/19/12,1110
USGS,9058000,7/20/12,1040
USGS,9058000,7/21/12,1040
USGS,9058000,7/22/12,1030
USGS,9058000,7/23/12,996
USGS,9058000,7/24/12,1020
USGS,9058000,7/25/12,1120
USGS,9058000,7/26/12,1090
USGS,9058000,7/27/12,1020
USGS,9058000,7/28/12,1030
USGS,9058000,7/29/12,1010
USGS,9058000,7/30/12,1020
USGS,9058000,7/31/12,1020
USGS,9058000,8/1/12,927
USGS,9058000,8/2/12,1110
USGS,9058000,8/3/12,1090
USGS,9058000,8/4/12,1070
USGS,9058000,8/5/12,1050
USGS,9058000,8/6/12,1040
USGS,9058000,8/7/12,1120
USGS,9058000,8/8/12,1150
USGS,9058000,8/9/12,1130
USGS,9058000,8/10/12,1040
USGS,9058000,8/11/12,1020
USGS,9058000,8/12/12,1020
USGS,9058000,8/13/12,986
USGS,9058000,8/14/12,910
USGS,9058000,8/15/12,897
USGS,9058000,8/16/12,896
USGS,9058000,8/17/12,962
USGS,9058000,8/18/12,964
USGS,9058000,8/19/12,948
USGS,9058000,8/20/12,947
USGS,9058000,8/21/12,923
USGS,9058000,8/22/12,976
USGS,9058000,8/23/12,990
USGS,9058000,8/24/12,1000
USGS,9058000,8/25/12,1030
USGS,9058000,8/26/12,1010
USGS,9058000,8/27/12,995
USGS,9058000,8/28/12,949
USGS,9058000,8/29/12,928
USGS,9058000,8/30/12,937
USGS,9058000,8/31/12,936
USGS,9058000,9/1/12,989
USGS,9058000,9/2/12,995
USGS,9058000,9/3/12,996
USGS,9058000,9/4/12,993
USGS,9058000,9/5/12,912
USGS,9058000,9/6/12,834
USGS,9058000,9/7/12,841
USGS,9058000,9/8/12,844
USGS,9058000,9/9/12,839
USGS,9058000,9/10/12,827
USGS,9058000,9/11/12,832
USGS,9058000,9/12/12,846
USGS,9058000,9/13/12,808
USGS,9058000,9/14/12,795
USGS,9058000,9/15/12,763
USGS,9058000,9/16/12,768
USGS,9058000,9/17/12,761
USGS,9058000,9/18/12,745
USGS,9058000,9/19/12,770
USGS,9058000,9/20/12,741
USGS,9058000,9/21/12,756
USGS,9058000,9/22/12,752
USGS,9058000,9/23/12,755
USGS,9058000,9/24/12,755
USGS,9058000,9/25/12,743
USGS,9058000,9/26/12,741
USGS,9058000,9/27/12,711
USGS,9058000,9/28/12,720
USGS,9058000,9/29/12,744
USGS,9058000,9/30/12,738
USGS,9058000,10/1/12,763
USGS,9058000,10/2/12,727
USGS,9058000,10/3/12,703
USGS,9058000,10/4/12,715
USGS,9058000,10/5/12,703
USGS,9058000,10/6/12,678
USGS,9058000,10/7/12,675
USGS,9058000,10/8/12,648
USGS,9058000,10/9/12,623
USGS,9058000,10/10/12,599
USGS,9058000,10/11/12,595
USGS,9058000,10/12/12,590
USGS,9058000,10/13/12,632
USGS,9058000,10/14/12,643
USGS,9058000,10/15/12,636
USGS,9058000,10/16/12,614
USGS,9058000,10/17/12,619
USGS,9058000,10/18/12,629
USGS,9058000,10/19/12,632
USGS,9058000,10/20/12,628
USGS,9058000,10/21/12,621
USGS,9058000,10/22/12,620
USGS,9058000,10/23/12,596
USGS,9058000,10/24/12,442
USGS,9058000,10/25/12,426
USGS,9058000,10/26/12,432
USGS,9058000,10/27/12,437
USGS,9058000,10/28/12,432
USGS,9058000,10/29/12,435
USGS,9058000,10/30/12,441
USGS,9058000,10/31/12,438
USGS,9058000,11/1/12,425
USGS,9058000,11/2/12,420
USGS,9058000,11/3/12,416
USGS,9058000,11/4/12,414
USGS,9058000,11/5/12,415
USGS,9058000,11/6/12,416
USGS,9058000,11/7/12,415
USGS,9058000,11/8/12,429
USGS,9058000,11/9/12,441
USGS,9058000,11/10/12,454
USGS,9058000,11/11/12,445
USGS,9058000,11/12/12,389
USGS,9058000,11/13/12,383
USGS,9058000,11/14/12,330
USGS,9058000,11/15/12,365
USGS,9058000,11/16/12,346
USGS,9058000,11/17/12,357
USGS,9058000,11/18/12,350
USGS,9058000,11/19/12,361
USGS,9058000,11/20/12,353
USGS,9058000,11/21/12,352
USGS,9058000,11/22/12,351
USGS,9058000,11/23/12,323
USGS,9058000,11/24/12,321
USGS,9058000,11/25/12,323
USGS,9058000,11/26/12,326
USGS,9058000,11/27/12,314
USGS,9058000,11/28/12,310
USGS,9058000,11/29/12,337
USGS,9058000,11/30/12,332
USGS,9058000,12/1/12,330
USGS,9058000,12/2/12,308
USGS,9058000,12/3/12,315
USGS,9058000,12/4/12,292
USGS,9058000,12/5/12,292
USGS,9058000,12/6/12,327
USGS,9058000,12/7/12,311
USGS,9058000,12/8/12,317
USGS,9058000,12/9/12,321
USGS,9058000,12/10/12,327
USGS,9058000,12/11/12,346
USGS,9058000,12/12/12,358
USGS,9058000,12/13/12,361
USGS,9058000,12/14/12,358
USGS,9058000,12/15/12,354
USGS,9058000,12/16/12,372
USGS,9058000,12/17/12,379
USGS,9058000,12/18/12,318
USGS,9058000,12/19/12,278
USGS,9058000,12/20/12,324
USGS,9058000,12/21/12,357
USGS,9058000,12/22/12,372
USGS,9058000,12/23/12,394
USGS,9058000,12/24/12,418
USGS,9058000,12/25/12,429
USGS,9058000,12/26/12,447
USGS,9058000,12/27/12,454
USGS,9058000,12/28/12,446
USGS,9058000,12/29/12,432
USGS,9058000,12/30/12,435
USGS,9058000,12/31/12,463
USGS,9058000,1/1/13,451
USGS,9058000,1/2/13,440
USGS,9058000,1/3/13,435
USGS,9058000,1/4/13,434
USGS,9058000,1/5/13,432
USGS,9058000,1/6/13,428
USGS,9058000,1/7/13,428
USGS,9058000,1/8/13,434
USGS,9058000,1/9/13,435
USGS,9058000,1/10/13,435
USGS,9058000,1/11/13,435
USGS,9058000,1/12/13,439
USGS,9058000,1/13/13,437
USGS,9058000,1/14/13,437
USGS,9058000,1/15/13,437
