ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
1,"Agouridis et al., 2011 and Brockman, 2010",Banklick Creek at Hwy 1829,77.7,0.0372,0.0051,0.0831,12.1,1,21.2
2,"Agouridis et al., 2011 and Brockman, 2010",Cave Creek near Fort Springs,6.55,0.0466,0.0074,0.0385,5.3,0.4,1.8
3,"Agouridis et al., 2011 and Brockman, 2010",Cedar Creek at Hwy 1442,31.34,0.0445,0.005,0.0477,12.6,0.7,9.7
4,"Agouridis et al., 2011 and Brockman, 2010",Chenoweth Run at Ruckriegel Pky.,14.17,0.0357,0.0053,0.045,13.6,0.5,4.7
5,"Agouridis et al., 2011 and Brockman, 2010",Cruises Creek at Hwy 17,46.62,0.0513,0.0056,0.0595,12.7,0.9,10.6
6,"Agouridis et al., 2011 and Brockman, 2010",Eagle Creek at Sadieville,111.11,0.1877,0.0016,0.0062,26.2,1.2,33.4
7,"Agouridis et al., 2011 and Brockman, 2010",East Hickman Creek at Andover,4.09,0.0925,0.0058,0.0152,4.1,0.4,1.1
8,"Agouridis et al., 2011 and Brockman, 2010",East Hickman Creek at Delong Rd.,39.11,0.0255,0.0025,0.0534,11.5,0.9,7.5
9,"Agouridis et al., 2011 and Brockman, 2010",Fourmile Creek at Polar Bridge,8.03,0.0919,0.0184,0.0607,8,0.5,4.4
10,"Agouridis et al., 2011 and Brockman, 2010",Goose Creek at Old Westport Rd.,15.54,0.0399,0.0053,0.0564,9.5,0.7,4.7
11,"Agouridis et al., 2011 and Brockman, 2010",Gunpowder Creek at Camp Ernst Rd.,94.79,0.025,0.0035,0.0848,12.12,1,46.4
12,"Agouridis et al., 2011 and Brockman, 2010",Little Goose Creek near Harrods Creek,15.02,0.0357,0.0061,0.0828,13.7,0.8,7.7
13,"Agouridis et al., 2011 and Brockman, 2010",Middle Fork Beargrass Creek at Old Cannons Ln.,48.95,0.0566,0.0037,0.0396,12.8,1,15
14,"Agouridis et al., 2011 and Brockman, 2010",Mud Lick Creek at Hwy 42,94.28,0.0612,0.0053,0.0787,12.11,1.5,57.8
15,"Agouridis et al., 2011 and Brockman, 2010",North Elkhorn Creek at Bryan Station Rd.,55.68,0.028,0.0032,0.0623,17.3,0.9,7.6
16,"Agouridis et al., 2011 and Brockman, 2010",North Elkhorn Creek at Man O War Rd.,5.7,0.0735,0.0073,0.0301,5.9,0.5,1.7
17,"Agouridis et al., 2011 and Brockman, 2010",North Elkhorn Creek at Winchester Rd.,10.49,0.0543,0.0046,0.0308,8.4,0.6,2.1
18,"Agouridis et al., 2011 and Brockman, 2010",South Elkhorn Creek at Fort Springs,62.16,0.0061,0.0028,0.194,16.5,0.7,15.4
19,"Agouridis et al., 2011 and Brockman, 2010",Town Branch at Yarnallton Rd.,77.7,0.0134,0.0029,0.1307,21.9,1,30.6
20,"Agouridis et al., 2011 and Brockman, 2010",Twelvemile Creek at Hwy 1997,101.01,0.0138,0.0025,0.1317,12.13,1.2,38.2
21,"Agouridis et al., 2011 and Brockman, 2010",UT to East Hickman Creek at Chilesburg,2.49,0.332,0.0063,0.0046,4.2,0.4,1.3
22,"Agouridis et al., 2011 and Brockman, 2010",West Hickman Creek at Ash Grove Pk.,53.09,0.0114,0.0034,0.1443,17.8,0.8,12.9
23,"Agouridis et al., 2011 and Brockman, 2010",Wolf Run at Old Frankfort Pk.,24.79,0.0233,0.005,0.1041,11.6,0.8,11.9
24,"Agouridis et al., 2011 and Brockman, 2010",Woolper Creek at Woolper Rd.,62.68,0.0851,0.0071,0.0455,12.9,0.9,15.3
25,"Albert, 2004","Rio Grande at Albuquerque, NM",,,0.0011,,105,1.3,141.58
26,Andrews 1984,"East River at Almont, CO",749,0.0407,0.0067,0.091,26,0.91,37.5
27,Andrews 1984,"Elk River near Milner, CO",1075,0.0508,0.0037,0.064,36.6,1.45,101
28,Andrews 1984,"Fraser River at Upper STA, near Winter Park, CO",27.2,0.0724,0.014,0.034,6.98,0.29,2.69
29,Andrews 1984,"Lake Fork at Gateview, CO",865,0.0391,0.0058,0.079,24.9,0.88,42
30,Andrews 1984,"Little Grizzly Creek above Hebron, CO",135,0.029,0.0023,0.023,10,0.48,6.7
31,Andrews 1984,little muddy creek near parshall,16.9,0.047,0.0061,0.024,5,0.31,1.9
32,Andrews 1984,"North Platte River near Northgate, CO",3706,0.0344,0.0014,0.024,47,0.97,85.2
33,Andrews 1984,"South Fork of Williams Fork near Leal, CO",70.5,0.0532,0.015,0.073,,0.43,8.36
34,Andrews 1984,Castle Creek near Aspen,104,0.0672,0.0206,0.091,8,0.49,4.5
35,Andrews 1984,Chalk Creek near Nathrop,251,0.0623,0.019,0.085,12,0.46,9.8
36,Andrews 1984,"Crystal River above Avalanche Creek, near Redstone, CO",433,0.0301,0.0058,0.098,34,0.84,49
37,Andrews 1984,Cunningham Creek near Norrie,18.4,0.0618,0.0092,0.037,6,0.41,2.5
38,Andrews 1984,East Inlet Creek near Grand Lake,70.5,0.0334,0.0046,0.061,12,0.73,12.2
39,Andrews 1984,Frazer River near Winter Park,27.2,0.0724,0.014,0.034,7,0.29,2.7
40,Andrews 1984,Little Snake River near Dixon,738,0.0343,0.0024,0.07,37,1.65,114
41,Andrews 1984,Little Snake river near Slater,738,0.0399,0.0071,0.122,31,1.13,72.2
42,Andrews 1984,Michigan River near Cameron Pass,3.96,0.0643,0.026,0.049,2,0.2,0.7
43,Andrews 1984,North Fork Fryingpan River above Cunningham,31.1,0.0387,0.01,0.061,6,0.39,3.2
44,Andrews 1984,South Fork Williams Fork near Leal,70.5,0.0535,0.015,0.073,9,0.43,8.4
45,Andrews 1984,Stillwater Creek above Granby Res.,45.3,0.0436,0.011,0.052,7,0.34,2.2
46,Andrews 1984,Tomichi Creek at Sargents,386,0.0315,0.0046,0.046,12,0.52,7.1
47,Andrews 1984,Williams Fork at mouth near Hamilton,883,0.0436,0.002,0.045,24,1.62,46.7
48,Andrews 1984,Williams Fork near Leal,231,0.0453,0.0044,0.043,18,0.73,22.6
49,"Andrews, 1984","Little Snake River near Dixon, WY",2558.91,0.0343,0.0024,0.07,36.6,1.65,114
50,"Andrews, 1984","Yampa River below Diversion, near Hayden, CO",3703.69,0.0307,0.0018,0.058,53.3,1.63,167
51,"Andrews, 1984","Yampa River near Maybell, CO",8832,0.029,0.00088,0.034,83.8,1.85,255
52,"Andrews, 1994","Sagehen Creek near Truckee, CA",27.19,0.0428,0.01,0.058,4.85,0.41,2
53,"Andrews, 2000","East Fork Virgin River near Springdale, UT",888.37,0.0562,0.004,0.025,7.8,0.58,7.1
54,"Annable, 1996; Li et. Al., 2015","Bear Creek below Brigden, Ontario, Canada",,7.6774,0.00033,0.000062,25.67,2.38,27.94
55,"Annable, 1996; Li et. Al., 2015","McKenzie Creek near Caledonia, Ontario, Canada",,4.6982,0.0034,0.00025,22.3,0.57,15.29
56,"Annable, 1996; Li et. Al., 2015","Willow Creek above Little Lake, Ontario, Canada",,9.1345,0.0024,0.00025,13.7,1.57,22.65
57,"Bartholdy and Kisling-Moller, (1996), Kleinhans and van den Berg, (2011)",Gels Aa,,0.8913,0.0005,0.00051,15,1.5,10
58,"BC Hydro and Power Authority, 1975",Beatton River near confluence with Peace River,,0.0638,0.00121,0.056,121,4.87,2096
59,"BC Hydro and Power Authority, 1975",Halfway River BC near confluence with Peace River,,0.0892,0.00221,0.05,178,3.33,1700
60,"BC Hydro and Power Authority, 1975",Halfway River BC upstream of lower section,,0.0614,0.00189,0.042,170,2.25,1042
61,"BC Hydro and Power Authority, 1975",Pine River BC near confluence with Peace River,,0.3972,0.01003,0.073,212,4.77,3820
62,"Bent and Waite, 2013","BRANCH RIVER AT FORESTDALE, RI",236.21,0.0211,0.0022,0.06588,18,1.05,34.26
63,"Bent and Waite, 2013","CHARLES RIVER AT DOVER, MA",473.97,0.0324,0.0008,0.01813,30.05,1.21,27.01
64,"Bent and Waite, 2013","Green River at Williamstown, MA",110.33,0.1025,0.0107,0.05956,24.08,0.94,34.55
65,"Bent and Waite, 2013","GREEN RIVER NEAR COLRAIN, MA",107.23,0.0588,0.0075,0.09281,16.8,1.2,59.75
66,"Bent and Waite, 2013","Hubbard River near West Hartland, CT",108.78,0.0556,0.0236,0.17945,22.33,0.7,14.36
67,"Bent and Waite, 2013","Mill River at Northhampton, MA",136.23,0.1478,0.0038,0.01695,25.76,1.09,45.31
68,"Bent and Waite, 2013","Nipmuc River near Harrisville, RI",41.44,0.0667,0.0021,0.01244,15.77,0.65,9
69,"Bent and Waite, 2013","NORTH RIVER AT SHATTUCKVILLE, MA",230.51,0.0659,0.0052,0.06695,41,1.4,86.9
70,"Bent and Waite, 2013","Old Swamp River near South Weymouth, MA",11.65,0.0223,0.0046,0.05001,10.84,0.4,6.4
71,"Bent and Waite, 2013","Otter River at Otter River, MA",88.32,0.0334,0.0049,0.048,18.2,0.54,10.59
72,"Bent and Waite, 2013","Priest Brook near Winchendon, MA",50.25,0.0411,0.002,0.01832,16.93,0.62,5.15
73,"Bent and Waite, 2013","Quaboag River at West Brimfield, MA",388.5,0.0163,0.0025,0.07615,40.37,0.82,28.6
74,"Bent and Waite, 2013","Salmon Creek at Lime Rock, CT",76.15,0.013,0.0034,0.11912,14.1,0.75,13.88
75,"Bent and Waite, 2013","Segreganset River at Dighton, MA",27.45,0.0461,0.013,0.10169,9.91,0.59,5.47
76,"Bent and Waite, 2013","Sevenmile River near Spencer, MA",22.82,0.0424,0.0053,0.03807,9.66,0.5,4.62
77,"Bent and Waite, 2013","SOUTH RIVER NEAR CONWAY, MA",62.42,0.1284,0.0052,0.03021,17,1.23,48.42
78,"Bent and Waite, 2013","Squannacook River near West Groton, MA",164.98,0.0234,0.0046,0.11855,22.46,1,21.01
79,"Bent and Waite, 2013","STONY BROOK NEAR WEST SUFFIELD, CT",26.94,0.0277,0.0064,0.07083,10,0.51,7.76
80,"Bent and Waite, 2013","Wading River near Norton, MA",112.15,0.0352,0.0024,0.02964,12.39,0.72,8.35
81,"Bent and Waite, 2013","West Branch Westfield River at Huntington, MA",243.46,0.0301,0.0066,0.128,37.84,0.96,98.26
82,"Brockman, 2010","FLOYDS FORK AT FISHERVILLE, KY",357.42,0.0153,0.001,0.0872,12.14,2.2,92.6
83,"California Water Board, 2012; ASCE report by Mussetter Eng. And Jones & Stokes Assoc. 2000",SAN JOAQUIN R NR VERNALIS CA,,0.8621,0.00014,0.0006,127.41,6.1,566.34
84,"Castro and Jackson, 2001","CHEHALIS RIVER AT PORTER, WA",3351.45,,0.00007,,85.34,5.06,239.08
85,"Castro and Jackson, 2001","JOHN DAY RIVER AT MCDONALD FERRY, OR",19632.12,,0.0073,,86.87,1.34,177.18
86,"Castro and Jackson, 2001","SKAGIT RIVER NEAR MOUNT VERNON, WA",8010.84,,0.0002,,182.88,4.97,1122.48
87,"Castro and Jackson, 2001","TUALATIN RIVER AT WEST LINN, OR",1828.53,,0.0052,,50.29,1.43,79.46
88,"Castro and Jackson, 2001","YAKIMA RIVER ABOVE AHTANUM CREEK AT UNION GAP, WA",9010.58,,0.0024,,70.1,2.19,227.58
89,"Castro and Jackson, 2001","YAKIMA RIVER AT KIONA, WA",14542.79,,0.0008,,76.2,1.68,204.28
90,"Castro and Jackson, 2001; O'Connor et al., 2014","ROGUE RIVER NEAR AGNESS, OR",10201.97,0.0654,0.0011,0.0407,109.73,3.99,805.33
91,"Castro and Jackson, 2001; O'Connor et al., 2014","South Umpqua River nr Brockway, OR",4325.28,0.0221,0.000674,0.0506,103.63,2.74,280.99
92,"Chaplin, 2005",Aquashicola Creek at Palmerton Pa.,198.65,0.0204,0.004,0.0988,44.5,0.83,48.7
93,"Chaplin, 2005",Bixler Run near Loysville Pa.,38.85,0.0263,0.004,0.071,13.2,0.77,12
94,"Chaplin, 2005",Blockhouse Creek near English Center Pa.,97.64,0.0444,0.006,0.0819,28.1,1,37.9
95,"Chaplin, 2005",Brandy Run near Girard Pa.,11.53,0.0461,0.012,0.041,8.9,0.26,4.3
96,"Chaplin, 2005",Browns Creek near Nineveh Pa.,45.32,0.0389,0.001,0.0145,17.5,0.93,17
97,"Chaplin, 2005",Buffalo Creek near Freeport Pa.,354.83,0.0397,0.002,0.0446,34.1,1.46,79.9
98,"Chaplin, 2005",Chillisquaque Creek at Washingtonville Pa.,132.87,0.0146,0.001,0.0506,22.7,1.22,49.8
99,"Chaplin, 2005",Corey Creek near Mainesburg Pa.,31.6,0.0608,0.009,0.0682,21.7,0.76,19.4
100,"Chaplin, 2005",Crooked Creek below Catlin Hollow at Middlebury Center Pa.,192.44,0.0243,0.001,0.0332,33.2,1.33,74.4
101,"Chaplin, 2005",East Mahantango Creek near Dalmatia Pa.,419.58,0.0382,0.002,0.0495,40.5,1.56,97.7
102,"Chaplin, 2005",First Fork Sinnemahoning Creek at Wharton Pa.,471.38,0.0143,0.002,0.107,54.6,1.26,117.4
103,"Chaplin, 2005",Jordan Creek at Allentown Pa.,196.32,0.013,0.001,0.0382,32.3,0.82,54.9
104,"Chaplin, 2005",Kettle Creek at Cross Fork Pa.,352.24,0.0107,0.002,0.119,48.5,1.05,79.6
105,"Chaplin, 2005",Kinzua Creek near Guffey Pa.,352.24,0.0242,0.004,0.0861,19.1,0.86,25.2
106,"Chaplin, 2005",Kishacoquillas Creek at Reedsville Pa.,424.76,0.0293,0.006,0.18,35.4,1.45,70.5
107,"Chaplin, 2005",Laurel Hill Creek at Ursina Pa.,313.39,0.0311,0.003,0.0672,49.1,1.15,91.3
108,"Chaplin, 2005",Little Mahoning Creek at McCormick Pa.,226.37,0.0139,0.001,0.0675,30.5,1.55,59.3
109,"Chaplin, 2005",Little Pine Creek near Etna Pa.,14.97,0.1771,0.011,0.0207,5.5,0.55,5.7
110,"Chaplin, 2005",Little Schuylkill River at Tamaqua Pa.,111.11,0.0282,0.007,0.119,16.9,0.79,27.8
111,"Chaplin, 2005",Little Shenango River at Greenville Pa.,269.36,0.0399,0.002,0.0523,22.1,1.72,58.9
112,"Chaplin, 2005",Lycoming Creek near Trout Run Pa.,448.07,0.016,0.003,0.133,61.6,1.17,133.9
113,"Chaplin, 2005",Maiden Creek at Virginville Pa.,411.81,0.0238,0.001,0.0331,47.9,1.3,89.1
114,"Chaplin, 2005",Marsh Creek at Blanchard Pa.,114.22,0.0365,0.006,0.0778,19.4,0.78,25.1
115,"Chaplin, 2005",Muncy Creek near Sonestown Pa.,61.64,0.0516,0.01,0.115,20.9,0.98,38.5
116,"Chaplin, 2005",Newburg Run at Newburg Pa.,13.7,0.0327,0.004,0.0393,12.6,0.53,8.5
117,"Chaplin, 2005",North Fork Bens Creek at North Fork Pa.,8.94,0.0874,0.031,0.0817,8.3,0.38,2
118,"Chaplin, 2005",Pohopoco Creek at Kresgeville Pa.,129.24,0.0053,0.001,0.0964,25.1,0.84,22.2
119,"Chaplin, 2005",Schuylkill River at Landingville Pa.,344.47,0.0349,0.001,0.0269,34.4,1.55,67.7
120,"Chaplin, 2005",Sevenmile Run near Rasselas Pa.,20.31,0.0519,0.009,0.0735,10.9,0.7,7.1
121,"Chaplin, 2005","SHERMAN CREEK AT SHERMANS DALE, PA",536.13,0.0132,0.001,0.0516,61.6,1.12,123
122,"Chaplin, 2005",Toby Creek at Luzerne Pa.,83.92,0.0427,0.012,0.121,15,0.71,21
123,"Chaplin, 2005",Tonoloway Creek near Needmore Pa.,27.71,0.045,0.008,0.0614,11.1,0.57,8.6
124,"Chaplin, 2005",Tuscarora Creek near Port Royal Pa.,554.26,0.0195,0.001,0.0581,61,1.87,116.9
125,"Chaplin, 2005",Tuscarora Creek near Silvara Pa.,30.56,0.0217,0.013,0.116,17.8,0.32,11.2
126,"Chaplin, 2005",Waldy Run near Emporium Pa.,13.57,0.0344,0.014,0.101,13.5,0.41,3.3
127,"Chaplin, 2005",Wapwallopen Creek near Wapwallopen Pa.,113.44,0.0523,0.006,0.0584,21.1,0.84,20.2
128,"Chaplin, 2005",West Branch Clarion River at Wilcox Pa.,163.17,0.0244,0.003,0.067,29.6,0.9,50.7
129,"Chaplin, 2005",West Branch French Creek near Lowville Pa.,135.46,0.0587,0.001,0.0158,19.3,1.53,27.8
130,"Chaplin, 2005",Wilson Run at Penfield Pa.,21.6,0.0508,0.007,0.0434,8.6,0.52,5.4
131,"Chaplin, 2005",Woodcock Creek at Blooming Valley Pa.,80.55,0.0167,0.004,0.11,22.3,0.76,30
132,"Chaplin, 2005",Young Womans Creek near Renovo Pa.,119.66,0.0362,0.009,0.119,25.8,0.79,22.1
133,"Chaplin, 2005; Krstolic and Chaplin, 2007","CHOPTANK RIVER NEAR GREENSBORO, MD",,0.5322,0.0003,0.00041,29.6,1.2,19.5
134,"Chaplin, 2005","JORDAN CREEK NEAR SCHNECKSVILLE, PA",137.27,0.0381,0.003,0.0453,32.3,0.95,49.6
135,"Chaplin, 2005","Little Lehigh Creek near Allentown, PA",209.27,0.0274,0.001,0.0244,19.42,1.1,17.1
136,"Chaplin, 2005","Monocacy Creek at Bethlehem, PA",115.25,0.0207,0.003,0.0562,16.64,0.64,11.1
137,"Chaplin, 2005","Quittapahilla Creek near Bellegrove, PA",192.18,0.0558,0.001,0.0101,21.95,0.93,19.54
138,"Chaplin, 2005","SPRING CREEK NEAR AXEMANN, PA",225.85,0.0239,0.004,0.0699,20.12,0.69,16.06
139,"Chaplin, 2005","Spring Creek near Houserville, PA",151.51,0.017,0.002,0.0506,20.06,0.71,13.2
140,"Chaplin, 2005","Spring Creek near Milesburg, PA",367.78,0.0459,0.001,0.0182,23.68,1.38,25.43
141,"Chaplin, 2005","TULPEHOCKEN CREEK NEAR BERNVILLE, PA",182.34,0.0225,0.001,0.0242,33.83,0.9,31.54
142,"Chaplin, 2005","Yellow Breeches Creek near Camp Hill, PA",551.67,0.0414,0.001,0.023,38.71,1.57,68.16
143,"Charlton et al., 1978","Ceiriog 4-7, Chirk",,0.1055,0.0105,0.082,19,1.36,66
144,"Charlton et al., 1978","Exe, Thorventon",,0.0449,0.0018,0.043,31,1.77,67
145,"Charlton et al., 1978","Irfon A, Abernant",,0.0433,0.0024,0.039,26,1.16,66
146,"Charlton et al., 1978",Afon Lwyd,,0.0633,0.0044,0.075,17.36,1.78,64
147,"Charlton et al., 1978",Alwen 1-5,,0.0267,0.0064,0.106,14.04,0.73,10
148,"Charlton et al., 1978",Alwen 5-9,,0.0509,0.013,0.113,9.84,0.73,10.7
149,"Charlton et al., 1978",Arrow,,0.0891,0.0045,0.041,13.73,1.34,29.5
150,"Charlton et al., 1978",Ceiriog 1-3,,0.0733,0.0048,0.071,17.63,1.79,66
151,"Charlton et al., 1978",Derwent,,0.05,0.0017,0.063,34.37,3.06,140
152,"Charlton et al., 1978",Eachaig,,0.0635,0.0057,0.074,18.41,1.36,58
153,"Charlton et al., 1978",Glen,,0.039,0.0052,0.063,25.12,0.78,25
154,"Charlton et al., 1978",Irfon A,,0.0433,0.0024,0.039,26.34,1.16,66
155,"Charlton et al., 1978",Irfon C,,0.0251,0.0014,0.055,28.67,1.63,81
156,"Charlton et al., 1978",Kent,,0.075,0.0074,0.113,39.9,1.89,170
157,"Charlton et al., 1978",Lune,,0.0157,0.0007,0.075,55.78,2.77,260
158,"Charlton et al., 1978",N Tyne,,0.0438,0.0036,0.104,42.64,2.09,212
159,"Charlton et al., 1978",Otter,,0.0235,0.0032,0.057,16.73,0.69,14.2
160,"Charlton et al., 1978",Rookhope,,0.0989,0.0137,0.089,13.7,1.06,36.5
161,"Charlton et al., 1978",Tees,,0.0425,0.0015,0.077,58,3.6,370
162,"Charlton et al., 1978",Teign,,0.0411,0.0014,0.051,19.03,2.47,66
163,"Charlton et al., 1978",Trent,,0.0275,0.0023,0.033,5.24,0.65,2.7
164,"Charlton et al., 1978",Usk,,0.02,0.0009,0.072,39.33,2.64,157
165,"Charlton et al., 1978",Wye,,0.0635,0.0007,0.028,59.35,4.19,550
166,"Charlton et al., 1978",Wyre,,0.0506,0.002,0.04,19.48,1.67,38
167,"Chase, 2004","Hanging Woman Creek near Birney, MT",1209.53,0.0509,0.014,0.04,2.07,0.24,0.57
168,"Chase, 2004","Otter Creek At Ashland, MT",1838.89,1.303,0.0003,0.00006,5.79,0.43,0.71
169,"Chase, 2004","Prairie Dog Creek near Birney, MT",51.02,0.0926,0.004,0.0055,4.57,0.21,0.34
170,"Chase, 2004","Tongue River at Miles City, MT",13996.31,10.0433,0.001,0.00007,44.81,1.16,46.44
171,"Chase, 2004","Tongue River at State Line near Decker, MT",3758.08,7.3939,0.001,0.0001,42.67,1.22,55.22
172,"Chase, 2004","Tongue River at Tongue River dam near Decker, MT",4617.95,0.0276,0.002,0.04,34.14,0.91,42.48
173,"Chase, 2004","Tongue River below Brandenberg Bridge near Ashland, MT",10046.57,1.2242,0.002,0.001,29.87,1.01,35.96
174,"Chitale, 1970; Li et al., 2015",Banas (at Abu Road Gujrat state) India,,1.5211,0.00217,0.00477,185.93,5.52,2406.93
175,"Chitale, 1970; Li et al., 2015",Beaver (Alberta) Canada,,0.798,0.00024,0.0005,54.86,2.74,141.58
176,"Chitale, 1970; Li et al., 2015","Bennihalla (above Railway Bridge, Gadag Hubli line) India",,6.29,0.000227,0.00004,137.16,1.83,453.07
177,"Chitale, 1970; Li et al., 2015",Bhagirathi (in West Bengal state) India,,1.1607,0.000058,0.00018,217.93,5.94,1670.69
178,"Chitale, 1970; Li et al., 2015","Burhi Gandak (at Muzaffarpur, Bihar state) India",,5.2647,0.00019,0.0001,213.36,4.57,1415.84
179,"Chitale, 1970; Li et al., 2015",Indus (at Hajipur) Pakistan,,1.642,0.0001,0.00018,982.98,4.88,7079.21
180,"Chitale, 1970; Li et al., 2015","Jhelum (at Shrinager, J. and K. state)  India",,10.4934,0.000137,0.000041,102.11,5.18,396.44
181,"Chitale, 1970; Li et al., 2015",Jhelum out-fall channel (J. and K. state) India,,0.3515,0.000085,0.00067,152.4,4.57,481.39
182,"Chitale, 1970; Li et al., 2015",Mississippi (Cairo to Memphis) U.S.,,2.7601,0.0000815,0.0003,2143.96,16.76,42475.27
183,"Chitale, 1970; Li et al., 2015",Mississippi (Vicksurg to Angola) U.S.,,1.1534,0.0000473,0.0005,1381.35,20.12,42475.27
184,"Chitale, 1970; Li et al., 2015",Mohor (at Kapadgan Gujrat state) India,,25.69,0.00046,0.000043,152.4,3.96,1132.67
185,"Chitale, 1970; Li et al., 2015","Mutha (at Poona, Maharashtra state) India",,1.6502,0.00067,0.0015,152.4,6.1,849.51
186,"Chitale, 1970; Li et al., 2015","Orsong (near Bhadeli, Gujrat state) India",,11.5094,0.001595,0.00032,579.12,3.81,4400.44
187,"Chitale, 1970; Li et al., 2015",Purna (in Surat District Gujrat state) India,,1.0807,0.0009,0.004,160.02,7.92,1982.18
188,"Chitale, 1970; Li et al., 2015",Ramganga (in U.P. state) India,,2.4851,0.0001065,0.00019,344.42,7.32,6611.98
189,"Chitale, 1970; Li et al., 2015","Redihalla (above Railway Bridge, Gadag Hubliline)",,5.2416,0.000227,0.00004,146.3,1.52,339.8
190,"Chitale, 1970; Li et al., 2015","Salandi (at Bidhyadharpur below Salandi dam, Orissa state) India",,1.2892,0.00067,0.00096,152.4,3.05,849.51
191,"Chitale, 1970; Li et al., 2015","Saraswati (at Sidhpur, Gujrat state) India",,6.5424,0.00125,0.0003,320.04,2.59,1274.26
192,"Chitale, 1970; Li et al., 2015",Savannah (in Georgia) U.S.,,0.4318,0.00011,0.0008,106.68,5.18,849.51
193,"Chitale, 1970; Li et al., 2015","Tapi (at Nanavaracha, Gujrat state) India",,13.5442,0.00047,0.00025,605.33,11.89,21237.63
194,"Chitale, 1970; Li et al., 2015",Tapi (at Ukai Gujrat state) India,,1.1026,0.000191,0.0016,274.32,15.24,16990.11
195,"Chitale, 1970; Li et al., 2015","Vatrak (at Kaira, Gujrat state) India",,8.4827,0.000328,0.00015,205.74,6.4,2123.76
196,"Chitale, 1970; Li et al., 2015","Vatrak (at Mehmadabad, Gujrat state) India",,7.497,0.000342,0.00015,178.31,5.43,1359.21
197,"Chitale, 1970; Li et al., 2015",Yamuna (at Delhi) India,,2.3264,0.00031,0.00032,365.76,3.96,1982.18
198,"Chitale, 1970; Li et al., 2015","Yamuna (at Hamirpur, U.P. state) India",,5.8743,0.000159,0.00018,975.36,10.97,30582.19
199,"Chitale, 1970; Li et al., 2015",Yashwantpur (at railway bridge A.P. state) India,,2.1311,0.0043,0.00205,121.92,1.68,283.17
200,"Chitale, 1973",Khipra (at Ujjain in M.P. state) India,,0.1397,0.00023,0.005,274.32,5.01,1727.33
201,"Chitale, 1973; Li et al., 2015",Tonle Sap (at Kompong Chhnang) Cambodia,,6.169890909,0.0000167,0.00001,1402.08,6.096,7079.211648
202,"Church and Rood, 1983; Li et al., 2015",McClintock River near Whitehorse (p. 66),,1.847,0.00053,0.00044,31,2.53,55
203,"Church and Rood, 1983; Li et al., 2015",Mekong River at Nong Khai (No: 00249; p. 71),,2.4493,0.00009,0.00031,625,13.92,16950
204,"Church and Rood, 1983; Li et al., 2015",Mekong River at Wat Sop  (No: 00248; p. 71),,1.5519,0.00007,0.00031,776,11.34,16300
205,"Church and Rood, 1983; Li et al., 2015","Niger River at Jebba, Nigeria (p. 72)",,0.5253,0.00013,0.00045,515,3,1500
206,"Church and Rood, 1983; Li et al., 2015",Red Deer River near Buffalo Bridge (No: 00255; p. 72),,1.3778,0.00031,0.0003,187,2.2,850
207,"Church and Rood, 1983; Li et al., 2015",Red Deer River near Dutchess Bridge (No: 00253; p. 72),,1.8645,0.00027,0.00033,226,3.76,1133
208,"Church and Rood, 1983; Li et al., 2015",Red Deer River near Jenner Ferry (p. 72),,1.4211,0.0003,0.00038,186,2.97,850
209,"Church and Rood, 1983; Li et al., 2015","River Bollin at Castle Mill, UK (No: 00234; p. 69)",,5.0649,0.003,0.00042,12,1.17,13
210,"Cinotto, 2003",Chester Creek near Chester Pa.,158.25,0.0328,0.002,0.0481,21.2,1.3,50.2
211,"Cinotto, 2003",Conowingo Creek near Buck Pa. ,22.53,0.0389,0.004,0.0436,8.9,0.7,7.4
212,"Cinotto, 2003",Crum Creek near Newtown Square Pa. ,40.92,0.3409,0.002,0.0032,17.5,0.9,17
213,"Cinotto, 2003",Manatawny Creek near Pottstown Pa. ,221.44,0.035,0.001,0.0277,27.5,1.6,66.3
214,"Cinotto, 2003",Perkiomen Creek at East Greenville Pa. ,98.42,0.2552,0.002,0.0038,35.7,0.8,33.7
215,"Cinotto, 2003",Sucker Run near Coatesville Pa. ,6.66,8.7273,0.009,0.00025,5.4,0.4,4
216,"Cinotto, 2003",West Branch Brandywine Creek at Coatesville Pa.,118.62,0.0905,0.009,0.0422,23.7,0.7,31.1
217,"Cinotto, 2003",West Branch Brandywine Creek at Modena Pa.,142.45,0.0798,0.004,0.0243,29.6,0.8,46.5
218,"Cinotto, 2003",West Branch Perkiomen Creek at Hillegas Pa.,59.57,1.8182,0.004,0.0008,29.4,0.6,28.3
219,"Cinotto, 2003; Li et al., 2015","West Branch Brandywine Creek near Honey Brook, PA",48.43,0.0565,0.001,0.00733,17.5,0.68,9.43
220,"Cinotto, 2003","FRENCH CREEK NEAR PHOENIXVILLE, PA",153.07,0.0298,0.004,0.0894,26.5,1.1,40.8
221,"Cinotto, 2003","Morgan Run near Louisville, MD",72.52,0.0758,0.004,0.027,20.79,0.84,27.47
222,"Collins and Leventhal, 2013",Bear Valley,,0.1334,0.0133,0.02394,3.99,0.4,2.62
223,"Collins and Leventhal, 2013",Blackstone 1,,0.0592,0.027,0.059,1.89,0.21,0.36
224,"Collins and Leventhal, 2013",Blackstone 2,,0.064,0.0277,0.048,2.04,0.18,0.35
